0902 Jockey Club


Date,Time,Session Title,Count,Speed,Unit,Pitch View,Pitch Zone,Pitch Type,Player Name,Sport,Activity,Video
9/2/2025,4:08:40 PM,0902 Jockey Club,181,57,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,4:08:47 PM,0902 Jockey Club,182,56,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,4:08:56 PM,0902 Jockey Club,183,61,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,4:09:08 PM,0902 Jockey Club,184,58,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,4:09:15 PM,0902 Jockey Club,185,57,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,4:09:19 PM,0902 Jockey Club,186,33,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,4:09:40 PM,0902 Jockey Club,187,53,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,4:09:41 PM,0902 Jockey Club,188,58,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,4:10:01 PM,0902 Jockey Club,189,50,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,4:10:06 PM,0902 Jockey Club,190,57,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,4:10:10 PM,0902 Jockey Club,191,56,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,4:10:39 PM,0902 Jockey Club,192,42,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,4:10:49 PM,0902 Jockey Club,193,57,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,4:11:08 PM,0902 Jockey Club,194,34,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,4:11:19 PM,0902 Jockey Club,195,59,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,4:11:48 PM,0902 Jockey Club,196,32,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,4:11:51 PM,0902 Jockey Club,197,45,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,4:11:57 PM,0902 Jockey Club,198,36,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,4:12:01 PM,0902 Jockey Club,199,32,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,4:12:05 PM,0902 Jockey Club,200,30,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,4:12:09 PM,0902 Jockey Club,201,37,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,4:12:14 PM,0902 Jockey Club,202,43,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,4:12:18 PM,0902 Jockey Club,203,27,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,4:12:23 PM,0902 Jockey Club,204,44,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,4:12:35 PM,0902 Jockey Club,205,44,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,4:12:53 PM,0902 Jockey Club,206,42,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,4:13:23 PM,0902 Jockey Club,207,36,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,4:30:38 PM,0902 Jockey Club,208,53,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,4:30:45 PM,0902 Jockey Club,209,32,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,4:31:16 PM,0902 Jockey Club,210,25,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,4:31:17 PM,0902 Jockey Club,211,28,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,4:31:21 PM,0902 Jockey Club,212,26,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,4:31:22 PM,0902 Jockey Club,213,27,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,4:31:23 PM,0902 Jockey Club,214,29,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,4:31:23 PM,0902 Jockey Club,215,32,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,4:32:01 PM,0902 Jockey Club,216,48,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,4:32:09 PM,0902 Jockey Club,217,57,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,4:33:42 PM,0902 Jockey Club,218,37,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,4:33:52 PM,0902 Jockey Club,219,63,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,4:34:26 PM,0902 Jockey Club,220,32,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,4:34:29 PM,0902 Jockey Club,221,35,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,4:37:46 PM,0902 Jockey Club,222,27,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,4:37:47 PM,0902 Jockey Club,223,34,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,4:38:07 PM,0902 Jockey Club,224,26,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,4:38:27 PM,0902 Jockey Club,225,47,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,4:39:45 PM,0902 Jockey Club,226,27,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,4:39:56 PM,0902 Jockey Club,227,37,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,4:40:02 PM,0902 Jockey Club,228,43,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,4:40:09 PM,0902 Jockey Club,229,25,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,4:40:58 PM,0902 Jockey Club,230,31,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,4:42:53 PM,0902 Jockey Club,231,27,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,4:42:53 PM,0902 Jockey Club,232,28,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,4:42:55 PM,0902 Jockey Club,233,40,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,4:44:00 PM,0902 Jockey Club,234,32,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,4:44:04 PM,0902 Jockey Club,235,43,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,4:46:47 PM,0902 Jockey Club,236,30,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,4:46:50 PM,0902 Jockey Club,237,46,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,4:46:53 PM,0902 Jockey Club,238,25,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,4:50:04 PM,0902 Jockey Club,239,32,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,4:51:22 PM,0902 Jockey Club,240,31,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,4:55:42 PM,0902 Jockey Club,241,25,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,4:55:43 PM,0902 Jockey Club,242,26,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,4:55:44 PM,0902 Jockey Club,243,27,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,4:55:44 PM,0902 Jockey Club,244,29,MPH,,,,Temp Temp,Football,In-game speed,NO
9/2/2025,4:56:01 PM,0902 Jockey Club,245,44,MPH,,,,Temp Temp,Football,In-game speed,NO
